#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
# Updated 2025 Apr  7 2348:35																											
S00002	1957 ALP 2	First Sputnik	1957 Oct  4	1957 Oct 27	1957 Oct 27	1957 Oct 27	-	Sputnik	-	-	-	C	TECH	S	-	ENV*	SU	A/AC.105/INF.002	-	227	947	65.1	-	0	0	0.00	First Earth satellite
S00003	1957 BET 1	Second Sputnik	1957 Nov  3	1957 Nov  9	1957 Nov  9	1957 Nov  9	-	Sputnik	-	-	-	C	BIO	S	-	BIO	SU	A/AC.105/INF.002	-	225	1671	65.3	-	0	0	0.00	First animal payload
S00004	1958 ALP	Explorer 1	1958 Feb  1	1958 Apr  1	1958 Apr  1	1958 Apr  1	-	Explorer ABMA	-	-	-	C	SCI	S	JPL	P*	US	A/AC.105/INF.001	-	-	-	-	-	0	0	0.00	Discovered trapped radiation
S00005	1958 BET 2	[Vanguard I]	1958 Mar 17	1964 Mar	1964 Mar	1964 Mar	-	Vanguard Test	-	-	-	C	TECH	S	NRL	GEOD	US	A/AC.105/INF.001	133.8	649	3938	34.3	2024 Aug 31	649	3825	34.24	First geodetic satellite
S00006	1958 GAM	[Explorer III]	1958 Mar 26	1958 May 10	1958 May 10	1958 May 10	-	Explorer ABMA	-	-	-	C	SCI	S	JPL	P*	[US]	-	-	-	-	-	-	0	0	0.00	Radiation
S00008	1958 DEL 2	Third Sputnik	1958 May 15	1958 Jun  5	1958 Jun  5	1958 Jun  5	-	ObjectD	-	-	-	C	SCI	S	-	P*	SU	A/AC.105/INF.002	-	226	1881	65.2	1959 May  7	207	1247	65.12	"Radiation, ionosphere"
S00009	1958 EPS	[Explorer IV]	1958 Jul 26	1958 Sep 19	1958 Sep 19	1958 Sep 19	-	Explorer ABMA	-	-	-	C	SCI	S	JPL	P*	[US]	-	-	-	-	-	-	0	0	0.00	Radiation
S00010	1958 ZET	[SCORE]	1958 Dec 18	1958 Dec 31	1958 Dec 31	1958 Dec 31	-	SCORE	-	-	-	D	COM	S	-	-	[US]	-	-	-	-	-	-	0	0	0.00	-
S00011	1959 ALP 1	[Vanguard II]	1959 Feb 17	1959 Mar  7	1959 Mar  7	1959 Mar  7	-	Vanguard	-	-	-	C	IMG	S	NRL	ATM	US	A/AC.105/INF.001	125.3	491	3358	32.9	1959 May 15	564	3304	32.88	Cloud cover photos
S00013	1959 BET	[Discoverer I]	1959 Feb 28	1959 Feb 28	1959 Feb 28	1959 Feb 28	-	CORONA Early	-	-	-	D	TECH	F	AFSCF	-	[US]	-	-	-	-	-	-	0	0	0.00	-
S00014	1959 GAM	[Discoverer II]	1959 Apr 13	1959 Apr 13	1959 Apr 13	1959 Apr 13	-	CORONA Early	-	-	-	D	TECH	S	AFSCF	-	[US]	-	-	-	-	-	-	0	0	0.00	-
S00015	1959 DEL 1	[Explorer VI]	1959 Aug  7	1959 Oct  6	1959 Oct  6	1959 Oct  6	-	ExplorerG	-	-	-	C	SCI	S	-	P/F*	[US]	-	-	-	-	-	1959 Aug 10	254	42414	46.95	Magnetosphere
S00018	1959 EPS 1	[Discoverer V]	1959 Aug 13	1959 Aug 14	1959 Aug 14	1959 Aug 14	-	CORONA Early	-	-	-	D	IMG	S	-	-	[US]	-	-	-	-	-	-	0	0	0.00	-
S00019	1959 ZET	[Discoverer VI]	1959 Aug 19	1959 Aug 20	1959 Aug 20	1959 Aug 20	-	CORONA Early	-	-	-	D	IMG	S	-	-	[US]	-	-	-	-	-	-	0	0	0.00	-
S00020	1959 ETA	[Vanguard III]	1959 Sep 18	1959 Dec 12	1959 Dec 12	1959 Dec 12	-	Vanguard3	-	-	-	C	SCI	S	-	MM/F*	US	A/AC.105/INF.001	129.8	544	3697	33.3	-	0	0	0.00	"Micrometeors, magnetometer"
S00021	1959 THE 1	Third Space Rocket	1959 Oct  4	1959 Nov 15	1959 Nov 15	1959 Nov 15	-	Luna	-	-	-	C	PLAN	S	Simeiz	PL	SU	A/AC.105/INF.002	-	-	-	-	1959 Oct  5	499	499998	55.00	Lunar farside photos
S00022	1959 IOT 1	[Explorer VII]	1959 Oct 13	1961 Feb	1961 Feb	1961 Feb	-	ExplorerG	-	-	-	C	SCI	S	-	P/F/ION*	US	A/AC.105/INF.001	101.1	554	1076	50.3	1959 Oct 17	560	1089	50.27	Ionosphere
S00024	1959 KAP	[Discoverer VII]	1959 Nov  7	1959 Nov  8	1959 Nov  8	1959 Nov  8	-	CORONA Early	-	-	-	D	IMG	F	-	-	[US]	-	-	-	-	-	-	0	0	0.00	-
S00025	1959 LAM	[Discoverer VIII]	1959 Nov 20	1959 Nov 21	1959 Nov 21	1959 Nov 21	-	CORONA Early	-	-	-	D	IMG	S	-	-	[US]	-	-	-	-	-	-	0	0	0.00	-
S00026	1959 EPS 2	SRV 111	1959 Aug 13	1959 Aug 14	1959 Aug 14	1959 Aug 14	-	SRV	-	-	D	D	RV	F	-	-	-	-	-	-	-	-	1960 May  1	194	1531	78.94	-
S00027	1960 ALP 1	[Pioneer V]	1960 Mar 11	1960 Jun 23	1960 Jun 23	1960 Jun 23	-	Able	-	-	-	C	PLAN	S	-	PL	US	A/AC.105/INF.001	-	-	-	-	-	0	0	0.00	Solar wind probe
S00029	1960 BET 2	[Tiros I]	1960 Apr  1	1960 Jun 18	1960 Jun 18	1960 Jun 18	-	Tiros A	-	-	-	C	MET	S	-	-	US	A/AC.105/INF.001	99.1	690	751	48.4	1960 Apr  4	690	753	48.36	-
S00031	1960 GAM 2	[Transit 1B]	1960 Apr 13	1960 Jul 12	1960 Jul 12	1960 Jul 12	-	Transit	-	-	-	D	NAV	S	-	-	US	A/AC.105/INF.001	94.7	368	644	51.3	1960 Apr 20	287	832	51.22	-
S00032	1960 DEL	[Discoverer XI]	1960 Apr 15	1960 Apr 16	1960 Apr 16	1960 Apr 16	-	CORONA Early	-	-	-	D	IMG	S	-	-	[US]	-	-	-	-	-	-	0	0	0.00	-
S00033	1960 GAM 3	Dummy subsatellite	1960 Apr 13	1960 Apr 13	1960 Apr 13	1960 Apr 13	-	GRAB	-	-	-	D	TECH	S	-	-	-	-	-	-	-	-	1960 Apr 25	288	705	51.22	-
S00036	1960 EPS 3	First Space Ship	1960 May 15	1960 May 19	1960 May 19	1960 May 19	-	Vostok1	-	-	D	C	SS	F	-	BIO	SU	A/AC.105/INF.002	-	312	369	65.0	1960 Jun 20	277	674	64.89	Life sciences
S00043	1960 ZET 1	[Midas 2]	1960 May 24	1960 May 25	1960 May 25	1960 May 25	-	Midas ETS	-	-	-	D	EW	S	-	MM/P/ATM	US	A/AC.105/INF.001	94.2	481	499	33.0	-	0	0	0.00	"Micrometeors, particles"
S00045	1960 ETA 1	[Transit 2A]	1960 Jun 22	1962 Oct 26	1962 Oct 26	1962 Oct 26	-	Transit	-	-	-	D	NAV	S	-	-	US	A/AC.105/INF.001	101.6	606	1045	66.8	1960 Jun 25	626	1046	66.77	-
S00046	1960 ETA 2	[Greb]	1960 Jun 22	1961 Apr 18	1961 Apr 18	1961 Apr 18	-	GRAB	-	-	-	D	SIG	S	-	SOL	US	A/AC.105/INF.001	101.6	614	1054	66.7	1960 Oct 13	612	1059	66.77	Solar radiation
S00048	1960 THE	[Discoverer XIII]	1960 Aug 10	1960 Aug 11	1960 Aug 11	1960 Aug 11	-	CORONA Early	-	-	-	D	IMG	S	-	BIO	[US]	-	-	-	-	-	-	0	0	0.00	Life sciences package
S00049	1960 IOT 1	[Echo]	1960 Aug 12	1960?	1960?	1960?	-	Echo	-	-	-	C	COM	S	-	-	US	A/AC.105/INF.001	116.2	1059	1966	47.3	1960 Aug 16	1517	1692	47.20	-
